name,level,subtitles,type,source,file,
Before I go to sleep,B2,Yes,movie,unknow,Before_I_go_to_sleep(2014).srt,
Deadpool,B2,Yes,movie,unknow,Deadpool(2016).srt,
Titanic,B2,Yes,movie,unknow,Titanic(1997).srt,
Dune,B2,Yes,movie,unknow,Dune(2021).srt,
Venom,B2,Yes,movie,unknow,Venom(2018).srt,
Before sunset,"B1, B2",Yes,movie,unknow,Before_sunset(2004).srt,
The blind side,B1,Yes,movie,unknow,The_blind_side(2009).srt,
Before sunrise,"B1, B2",Yes,movie,unknow,Before_sunrise(1995).srt,
Clueless,B1,Yes,movie,unknow,Clueless(1995).srt,
The usual suspects,B2,Yes,movie,unknow,The_usual_suspects(1995).srt,
Aladdin,A2/A2+,Yes,movie,unknow,Aladdin(1992).srt,
Powder,B1,Yes,movie,unknow,Powder(1995).srt,
Fight club,B2,Yes,movie,unknow,Fight_club(1999).srt,
Good Will Hunting,B2,Yes,movie,unknow,Good_Will_Hunting(1997).srt,
All dogs go to heaven,A2/A2+,Yes,movie,unknow,All_dogs_go_to_heaven(1989).srt,
An American tail,A2/A2+,Yes,movie,unknow,An_American_tail(1986).srt,
Notting Hill,B1,Yes,movie,unknow,Notting_Hill(1999).srt,
Pleasantville,B1,Yes,movie,unknow,Pleasantville(1998).srt,
"Liar, liar",B1,Yes,movie,unknow,Liar_liar(1997).srt,
Hook,A2/A2+,Yes,movie,unknow,Hook(1991).srt,
Babe,A2/A2+,Yes,movie,unknow,Babe(1995).srt,
A knight’s tale,B2,Yes,movie,unknow,A_knights_tale(2001).srt,
The Shawshank Redemption,"B1, B2",Yes,movie,unknow,The_Shawshank_redemption(1994).srt,
Logan,B1,Yes,movie,unknow,Logan(2017).srt,
Braveheart,B2,Yes,movie,unknow,Braveheart(1995).srt,
Moulin Rouge ️,"A2/A2+, B1",No,movie,unknow,Moulin_Rouge(2001).srt,
The Greatest Showman ️,A2/A2+,Yes,movie,unknow,The_greatest_showman(2017).srt,
It’s a wonderful life,A2/A2+,Yes,movie,unknow,Its_a_wonderful_life(1946).srt,
Eurovision Song Contest: The Story of Fire Saga,A2/A2+,Yes,movie,unknow,Eurovision_song_contest_(2020).srt,
Mary Poppins Returns,B1,Yes,movie,unknow,Mary_Poppins_returns(2018).srt,
The fault in our stars,"A2/A2+, B1",Yes,movie,unknow,The_fault_in_our_stars(2014).srt,
10 Cloverfield Lane,B1,Yes,movie,unknow,10_Cloverfield_lane(2016).srt,
Lion,"B1, B2",Yes,movie,unknow,The_lion_king(1994).srt,
House of Gucci,B2,Yes,movie,unknow,House_of_Gucci(2021).srt,
Kubo and the Two Strings,B1,Yes,movie,unknow,Kubo_and_the_two_strings(2016).srt,
Charlie and the Chocolate Factory,B1,Yes,movie,unknow,Charlie_and_the_Chocolate_Factory.srt,
Cinderella,B1,Yes,movie,unknow,Cinderella(1950).srt,
Ferdinand,B1,Yes,movie,unknow,Ferdinand(2017).srt,
Inside Out,B1,Yes,movie,unknow,Inside_out(2015).srt,
Milada,B1,Yes,movie,unknow,Milada(2017).srt,
Sleepless in Seattle,B1,Yes,movie,unknow,Sleepless_in_Seattle(1993).srt,
The Terminal,B1,Yes,movie,unknow,The_terminal(2004).srt,
While You Were Sleeping,B1,Yes,movie,unknow,While_You_Were_Sleeping(1995).srt,
The Fundamentals of Caring,B1,Yes,movie,unknow,The_Fundamentals_of_Caring(2016).srt,
Cars,B2,Yes,movie,unknow,Cars(2006).srt,
Despicable Me,B2,Yes,movie,unknow,Despicable_Me(2010).srt,
Enola Holmes,B2,Yes,movie,unknow,Enola_Holmes(2020).srt,
Entrapment,B2,Yes,movie,unknow,Entrapment.srt,
Made of Honor,B2,Yes,movie,unknow,Made_of_Honor(2008).srt,
Ratatouille,B2,Yes,movie,unknow,Ratatouille(2007).srt,
The Blind Side,B2,Yes,movie,unknow,The_blind_side(2009).srt,
The Devil Wears Prada,B2,Yes,movie,unknow,The_Devil_Wears_Prad.srt,
The Intern,B2,Yes,movie,unknow,The_Intern(2015).srt,
The Legend of Tarzan,C1,Yes,movie,unknow,The_Legend_of_Tarzan(2016).srt,
Zootopia,C1,Yes,movie,unknow,Zootopia(2016).srt,
Banking on Bitcoin,C1,Yes,movie,unknow,Banking_On_Bitcoin(2016).srt,
Klaus,C1,Yes,movie,unknow,Klaus(2019).srt,
Ocean’s Eleven,C1,Yes,movie,unknow,Oceans_Eleven(2001).srt,
Ocean’s Twelve,C1,Yes,movie,unknow,Oceans_Twelve(2004).srt,
Bridget Jones’s Baby,C1,Yes,movie,unknow,Bridget_Joness_Baby.srt,
Mona Lisa Smile,C1,Yes,movie,unknow,Mona_Lisa_Smile(2003).srt,
The Matrix,B2,Yes,movie,grade.ua,The Matrix.srt,
(500) Days of Summer,B2,Yes,movie,grade.ua,500_Days_Of_Summer_2009.srt,
The Hunger Games,B2,Yes,movie,grade.ua,The.Hunger.Games.1080p.BluRay.x264-BLOW.srt,
The Ghost Writer,B2,Yes,movie,englex.ru,The_Ghost_Writer.srt,
Casper,A2,Yes,movie,englex.ru,Casper.srt,
Gogo Loves English,A1,Yes,movie,englex.ru,Gogo_Loves_English.srt,
Westworld_scenes_of_Dr_Robert_Ford,C1,Yes,movie,englex.ru,Westworld_scenes_of_Dr_Robert_Ford.srt,
Mulholland Drive, ,Yes,movie,englex.ru,Mulholland.Drive.2001.REPACK.720p.BluRay.x264.AAC-[YTS.MX].srt,
Addams Family Values,A2,Yes,movie,englex.ru,failed-afv.dvdrip-sd.srt,
"
Peppa Pig: My First Cinema Experience",A2,Yes,movie,https://blog.winwin.education/blog/45-filmov-i-serialov-dlya-izucheniya-angliyskogo/,Peppa_pig_my_first_cinema_experience.srt,
Tangled,B1,Yes,movie,https://blog.winwin.education/blog/45-filmov-i-serialov-dlya-izucheniya-angliyskogo/,Tangled.srt,
The Lake House,B1,Yes,movie,https://blog.winwin.education/blog/45-filmov-i-serialov-dlya-izucheniya-angliyskogo/,The_lake_house.srt,
Indecent Proposal,B1,Yes,movie,https://blog.winwin.education/blog/45-filmov-i-serialov-dlya-izucheniya-angliyskogo/,indecent_proposal.srt,
A Most Violent Year,B2,Yes,movie,https://blog.winwin.education/blog/45-filmov-i-serialov-dlya-izucheniya-angliyskogo/,A_most_violent_year.srt,
Miracle on 34th Street,B2,Yes,movie,https://blog.winwin.education/blog/45-filmov-i-serialov-dlya-izucheniya-angliyskogo/,Miracle_on_34th_street.srt,
Snow White and The Seven Dwarfs,C1,Yes,movie,https://blog.winwin.education/blog/45-filmov-i-serialov-dlya-izucheniya-angliyskogo/,Snow_white_and_the_seven_dwarfs.srt,
One Flew Over the Cuckoo's Nest,C1,Yes,movie,https://blog.winwin.education/blog/45-filmov-i-serialov-dlya-izucheniya-angliyskogo/,One_flew_over_the_cuckoo's_nest.srt,
Sweet Home Alabama,B1,Yes,movie,https://easyspeak.ru/blog/sovety-i-sekrety/luchshie-filmy-dlja-izuchenija-anglijskogo,Sweet_home_alabama.srt,
Pretty Woman,B1,Yes,movie,https://easyspeak.ru/blog/sovety-i-sekrety/luchshie-filmy-dlja-izuchenija-anglijskogo,Pretty_woman.srt,
Runaway Bride,B1,Yes,movie,https://easyspeak.ru/blog/sovety-i-sekrety/luchshie-filmy-dlja-izuchenija-anglijskogo,Runaway_bride.srt,
Police Academy,B1,Yes,movie,https://easyspeak.ru/blog/sovety-i-sekrety/luchshie-filmy-dlja-izuchenija-anglijskogo,Police_academy.srt,
The Little Mermaid,B1,Yes,movie,https://easyspeak.ru/blog/sovety-i-sekrety/luchshie-filmy-dlja-izuchenija-anglijskogo,The_little_mermaid.srt,
Dumb & Dumber,B1,Yes,movie,https://easyspeak.ru/blog/sovety-i-sekrety/luchshie-filmy-dlja-izuchenija-anglijskogo,Dumb_and_dumber.srt,
You've Got Mail,B1,Yes,movie,https://easyspeak.ru/blog/sovety-i-sekrety/luchshie-filmy-dlja-izuchenija-anglijskogo,You've_got_mail.srt,
Bubble Boy,B1,Yes,movie,https://easyspeak.ru/blog/sovety-i-sekrety/luchshie-filmy-dlja-izuchenija-anglijskogo,Bubble_boy.srt,
Riding in Cars with Boys,B1,Yes,movie,https://easyspeak.ru/blog/sovety-i-sekrety/luchshie-filmy-dlja-izuchenija-anglijskogo,Riding_in_cars_with_boys.srt,
Daddy Day Care,B1,Yes,movie,https://easyspeak.ru/blog/sovety-i-sekrety/luchshie-filmy-dlja-izuchenija-anglijskogo,Daddy_day_care.srt,
Cheaper by the Dozen,B1,Yes,movie,https://easyspeak.ru/blog/sovety-i-sekrety/luchshie-filmy-dlja-izuchenija-anglijskogo,Cheaper_by_the_dozen.srt,
Free Willy,B1,Yes,movie,https://easyspeak.ru/blog/sovety-i-sekrety/luchshie-filmy-dlja-izuchenija-anglijskogo,Free_willy.srt,
Billy Madison,B1,Yes,movie,https://easyspeak.ru/blog/sovety-i-sekrety/luchshie-filmy-dlja-izuchenija-anglijskogo,Billy_madison.srt,
Doctor Dolittle,B1,Yes,movie,https://easyspeak.ru/blog/sovety-i-sekrety/luchshie-filmy-dlja-izuchenija-anglijskogo,Doctor_dolittle.srt,
The Bodyguard,B1,Yes,movie,https://easyspeak.ru/blog/sovety-i-sekrety/luchshie-filmy-dlja-izuchenija-anglijskogo,The_bodyguard.srt,
Two Weeks Notice,B1,Yes,movie,https://easyspeak.ru/blog/sovety-i-sekrety/luchshie-filmy-dlja-izuchenija-anglijskogo,Two_weeks_notice.srt,
Turner & Hooch,B1,Yes,movie,https://easyspeak.ru/blog/sovety-i-sekrety/luchshie-filmy-dlja-izuchenija-anglijskogo,Turner_and_hooch.srt,
Junior,B1,Yes,movie,https://easyspeak.ru/blog/sovety-i-sekrety/luchshie-filmy-dlja-izuchenija-anglijskogo,Junior.srt,
Rat Race,B1,Yes,movie,https://easyspeak.ru/blog/sovety-i-sekrety/luchshie-filmy-dlja-izuchenija-anglijskogo,Rat_race.srt,
The Truth About Cats & Dogs,B1,Yes,movie,https://easyspeak.ru/blog/sovety-i-sekrety/luchshie-filmy-dlja-izuchenija-anglijskogo,The_truth_about_cats_and_dogs.srt,
Nine Months,B1,Yes,movie,https://easyspeak.ru/blog/sovety-i-sekrety/luchshie-filmy-dlja-izuchenija-anglijskogo,Nine_months.srt,
Twins,B1,Yes,movie,https://easyspeak.ru/blog/sovety-i-sekrety/luchshie-filmy-dlja-izuchenija-anglijskogo,Twins.srt,
Shallow Hal,B1,Yes,movie,https://easyspeak.ru/blog/sovety-i-sekrety/luchshie-filmy-dlja-izuchenija-anglijskogo,Shallow_hal.srt,
Just Married,B1,Yes,movie,https://easyspeak.ru/blog/sovety-i-sekrety/luchshie-filmy-dlja-izuchenija-anglijskogo,Just_married.srt,
Anger Management,B2,Yes,movie,https://easyspeak.ru/blog/sovety-i-sekrety/luchshie-filmy-dlja-izuchenija-anglijskogo,Anger_management.srt,
Mr. Deeds,B2,Yes,movie,https://easyspeak.ru/blog/sovety-i-sekrety/luchshie-filmy-dlja-izuchenija-anglijskogo,Mr_Deeds.srt,
The Wedding Singer,B2,Yes,movie,https://easyspeak.ru/blog/sovety-i-sekrety/luchshie-filmy-dlja-izuchenija-anglijskogo,The_wedding_singer.srt,
Crocodile Dundee,B2,Yes,movie,https://easyspeak.ru/blog/sovety-i-sekrety/luchshie-filmy-dlja-izuchenija-anglijskogo,Crocodile_dundee.srt,
The Wizard of Oz,B2,Yes,movie,https://easyspeak.ru/blog/sovety-i-sekrety/luchshie-filmy-dlja-izuchenija-anglijskogo,The_wizard_of_oz.srt,
E.T. the Extra-Terrestrial,B2,Yes,movie,https://easyspeak.ru/blog/sovety-i-sekrety/luchshie-filmy-dlja-izuchenija-anglijskogo,The_extra-terrestrial.srt,
The Scarlet Letter,B2,Yes,movie,https://easyspeak.ru/blog/sovety-i-sekrety/luchshie-filmy-dlja-izuchenija-anglijskogo,The_scarlet_letter.srt,
The Truman Show,B2,Yes,movie,https://easyspeak.ru/blog/sovety-i-sekrety/luchshie-filmy-dlja-izuchenija-anglijskogo,The_truman_show.srt,
Cool Hand Luke,B2,Yes,movie,https://easyspeak.ru/blog/sovety-i-sekrety/luchshie-filmy-dlja-izuchenija-anglijskogo,Cool_hand_luke.srt,
The School of Rock,B2,Yes,movie,https://easyspeak.ru/blog/sovety-i-sekrety/luchshie-filmy-dlja-izuchenija-anglijskogo,The_school_of_rock.srt,
As Good As It Gets,B2,Yes,movie,https://easyspeak.ru/blog/sovety-i-sekrety/luchshie-filmy-dlja-izuchenija-anglijskogo,As_good_as_it_gets.srt,
Jerry Maguire,B2,Yes,movie,https://easyspeak.ru/blog/sovety-i-sekrety/luchshie-filmy-dlja-izuchenija-anglijskogo,Jerry_maguire.srt,
Mousehunt,B2,Yes,movie,https://easyspeak.ru/blog/sovety-i-sekrety/luchshie-filmy-dlja-izuchenija-anglijskogo,Mousehunt.srt,
The Last Samurai,B2,Yes,movie,https://easyspeak.ru/blog/sovety-i-sekrety/luchshie-filmy-dlja-izuchenija-anglijskogo,The_last_samurai.srt,
Captain Corelli's Mandolin,B2,Yes,movie,https://easyspeak.ru/blog/sovety-i-sekrety/luchshie-filmy-dlja-izuchenija-anglijskogo,Captain_corellis_mandolin.srt,
"Monsters, Inc.",B2,Yes,movie,https://easyspeak.ru/blog/sovety-i-sekrety/luchshie-filmy-dlja-izuchenija-anglijskogo,Monsters_inc.srt,
Citizen Kane,B2,Yes,movie,https://easyspeak.ru/blog/sovety-i-sekrety/luchshie-filmy-dlja-izuchenija-anglijskogo,Citizen_kane.srt,
Something's Gotta Give,B2,Yes,movie,https://easyspeak.ru/blog/sovety-i-sekrety/luchshie-filmy-dlja-izuchenija-anglijskogo,Something's_gotta_give.srt,
Angela’s Christmas Wish (2020),B1,Yes,movie,https://moviesbylevels.wordpress.com,Angelas.Christmas.Wish.2020.varivoda_sp.srt,
Inside Einstein’s Mind (2015),B1,Yes,movie,https://moviesbylevels.wordpress.com,inside-einsteins-mind-the-enigma-of-space-and-time.2015.varivoda_sp.srt,Формат субтитров какой-то не такой
Mechanic: Resurrection (2016),B1,Yes,movie,https://moviesbylevels.wordpress.com,Mechanic.Resurrection.2016.varivoda_sp.srt,
SlingShot (2014),B1,Yes,movie,https://moviesbylevels.wordpress.com,SlingShot.2014.varivoda_sp.srt,
Spirit: Stallion of the Cimarron (2002),B1,Yes,movie,https://moviesbylevels.wordpress.com,Spirit.Stallion.of.the.Cimarron.2002.varivoda_sp.srt,
Valentine’s Day (2010),B1,Yes,movie,https://moviesbylevels.wordpress.com,Valentines.Day.2010.varivoda_sp.srt,
Angela’s Christmas (2017),B2,Yes,movie,https://moviesbylevels.wordpress.com,Angela's.Christmas.2018.varivoda_sp.srt,
Brené Brown: The Call to Courage (2019),B2,Yes,movie,https://moviesbylevels.wordpress.com,BrenВ.Brown.The.Call.to.Courage.2019.varivoda_sp.srt,
Collateral Beauty (2016),B2,Yes,movie,https://moviesbylevels.wordpress.com,Collateral.Beauty.2016.varivoda_sp.srt,
Frozen (2013),B2,Yes,movie,https://moviesbylevels.wordpress.com,Frozen.2013.varivoda_sp.srt,
Ghosts of Girlfriends Past (2009),B2,Yes,movie,https://moviesbylevels.wordpress.com,Ghosts.of.Girlfriends.Past.2009.varivoda_sp.srt,
Gulliver’s Travels (1939),B2,Yes,movie,https://moviesbylevels.wordpress.com,Gullivers.Travels.1939.varivoda_sp.srt,
Icarus (2017),B2,Yes,movie,https://moviesbylevels.wordpress.com,Icarus.2017.varivoda_sp.srt,
On Yoga: The Architecture of Peace (2017),B2,Yes,movie,https://moviesbylevels.wordpress.com,On Yoga - The Architecture of Peace.2017.varivoda_sp.srt,
Roman Holiday (1953),B2,Yes,movie,https://moviesbylevels.wordpress.com,Roman Holiday.1953.varivoda_sp.srt,
Somm: Into the Bottle (2015),B2,Yes,movie,https://moviesbylevels.wordpress.com,SOMM.Into.the.Bottle.2015.varivoda_sp.srt,
Tesla (2016),B2,Yes,movie,https://moviesbylevels.wordpress.com,Tesla.2020.varivoda_sp.srt,
The Grinch (2018),B2,Yes,movie,https://moviesbylevels.wordpress.com,The Grinch.2018.varivoda_sp.srt,
The Notebook (2004),B2,Yes,movie,https://moviesbylevels.wordpress.com,The.Notebook.2004.varivoda_sp.srt,
The Prince of Egypt (1998),B2,Yes,movie,https://moviesbylevels.wordpress.com,The Prince of Egypt.1998.varivoda_sp.srt,
The Secret Life of Pets (2016),B2,Yes,movie,https://moviesbylevels.wordpress.com,The.Secret.Life.of.Pets.2016.varivoda_sp.srt,
The Sound of Music (1965),B2,Yes,movie,https://moviesbylevels.wordpress.com,The.Sound.of.Music.1965.varivoda_sp.srt,
The True Cost (2015),B2,Yes,movie,https://moviesbylevels.wordpress.com,The.True.Cost.2015.varivoda_sp.srt,
Wallace & Grommit: The Curse of the Were-Rabbit (2005),B2,Yes,movie,https://moviesbylevels.wordpress.com,Wallace_Grommit.2005.varivoda_sp.srt,
Banking on Bitcoin (2016),C1,Yes,movie,https://moviesbylevels.wordpress.com,Banking.on.Bitcoin.2016.varivoda_sp.srt,
Breakfast at Tiffany (1961),C1,Yes,movie,https://grade.ua/blog/20-filmov-dlya-vseh-urovnej-anglijskogo-kotorye-prosto-neobhodimo-posmotret-v-originale/,Breakfast at Tiffanys.1961.varivoda_sp.srt,
The Green Knight (2021),C2,Yes,movie,https://magazine.skyeng.ru/6-novyh-filmov-dlja-vseh-urovnej-anglijskogo-ot-a1-do-s2/,The.Green.Knight.2021.varivoda_sp.srt,
The Harder They Fall (2021),C1,Yes,movie,https://magazine.skyeng.ru/6-novyh-filmov-dlja-vseh-urovnej-anglijskogo-ot-a1-do-s2/,The.Harder.They.Fall.2021.varivoda_sp.srt,
The Electrical Life of Louis Wain (2021),B1,Yes,movie,https://magazine.skyeng.ru/6-novyh-filmov-dlja-vseh-urovnej-anglijskogo-ot-a1-do-s2/,The.Electrical.Life.of.Louis.Wain.2021.varivoda_sp.srt,
Card Counter (2021),B2,Yes,movie,https://magazine.skyeng.ru/6-novyh-filmov-dlja-vseh-urovnej-anglijskogo-ot-a1-do-s2/,The.Card.Counter.2021.varivoda_sp.srt,
Finch (2021),A2,Yes,movie,https://magazine.skyeng.ru/6-novyh-filmov-dlja-vseh-urovnej-anglijskogo-ot-a1-do-s2/,Finch 2021 _English.srt,
Red Notice (2021),A1,Yes,movie,https://magazine.skyeng.ru/6-novyh-filmov-dlja-vseh-urovnej-anglijskogo-ot-a1-do-s2/,Red.Notice.2021.varivoda_sp.srt,
